card,city,date,event,fightRound,fighterOne,fighterOneUrl,fighterTwo,fighterTwoUrl,method,notes,result,roundTime,weightclass
,"San Diego, California","December 17, 2011",Strikeforce: Melendez vs. Masvidal,5,Gilbert Melendez,/wiki/Gilbert_Melendez,Jorge Masvidal,/wiki/Jorge_Masvidal,"Decision (unanimous) (50â€“45, 50â€“45, 49â€“46)",,def.,05:00,Lightweight
,"San Diego, California","December 17, 2011",Strikeforce: Melendez vs. Masvidal,1,Cristiane Santos,/wiki/Cristiane_Santos,Hiroko Yamanaka,/wiki/Hiroko_Yamanaka,TKO (punches),,def.,00:16,Women's Featherweight
,"San Diego, California","December 17, 2011",Strikeforce: Melendez vs. Masvidal,3,Gegard Mousasi,/wiki/Gegard_Mousasi,Ovince St. Preux,/wiki/Ovince_St._Preux,"Decision (unanimous) (29â€“28, 29â€“28, 29â€“28)",,def.,05:00,Light Heavyweight
,"San Diego, California","December 17, 2011",Strikeforce: Melendez vs. Masvidal,3,K.J. Noons,/wiki/K.J._Noons,Billy Evangelista,/wiki/Billy_Evangelista,"Decision (unanimous) (29â€“28, 29â€“28, 29â€“28)",,def.,05:00,Lightweight
,"San Diego, California","December 17, 2011",Strikeforce: Melendez vs. Masvidal,1,Roger Bowling,/wiki/Roger_Bowling_(fighter),Jerron Peoples,,KO (punches),,def.,00:42,Catchweight (181 lb)
,"San Diego, California","December 17, 2011",Strikeforce: Melendez vs. Masvidal,1,Caros Fodor,/wiki/Caros_Fodor,Justin Wilcox,/wiki/Justin_Wilcox,KO (punches),,def.,00:13,Lightweight
,"San Diego, California","December 17, 2011",Strikeforce: Melendez vs. Masvidal,3,Devin Cole,/wiki/Devin_Cole,Gabriel Salinas-Jones,,"Decision (unanimous) (30â€“27, 30â€“27, 30â€“27)",,def.,05:00,Heavyweight
,"San Diego, California","December 17, 2011",Strikeforce: Melendez vs. Masvidal,3,Herman Terrado,/wiki/Herman_Terrado,Chris Brown,,Submission (armbar),,def.,04:05,Welterweight
,"San Diego, California","December 17, 2011",Strikeforce: Melendez vs. Masvidal,3,Eddie Mendez,,Fernando Gonzalez,/wiki/Fernando_Gonzalez_(fighter),"Decision (split) (30â€“27, 28â€“29, 29â€“28)",,def.,05:00,Middleweight
,Paradise,"January 7, 2012",Strikeforce: Rockhold vs. Jardine,1,Luke Rockhold,/wiki/Luke_Rockhold,Keith Jardine,/wiki/Keith_Jardine,TKO (punches),,def.,04:26,Middleweight
,Paradise,"January 7, 2012",Strikeforce: Rockhold vs. Jardine,2,Muhammed Lawal,/wiki/Muhammed_Lawal,Lorenz Larkin,/wiki/Lorenz_Larkin,KO (punches),,def.,01:32,Light Heavyweight
,Paradise,"January 7, 2012",Strikeforce: Rockhold vs. Jardine,1,Robbie Lawler,/wiki/Robbie_Lawler,Adlan Amagov,/wiki/Adlan_Amagov,TKO (flying knee and punches),,def.,01:48,Middleweight
,Paradise,"January 7, 2012",Strikeforce: Rockhold vs. Jardine,3,Tyron Woodley,/wiki/Tyron_Woodley,Jordan Mein,/wiki/Jordan_Mein,"Decision (split) (28â€“29, 29â€“28, 30â€“27)",,def.,05:00,Welterweight
,Paradise,"January 7, 2012",Strikeforce: Rockhold vs. Jardine,3,Tarec Saffiedine,/wiki/Tarec_Saffiedine,Tyler Stinson,/wiki/Tyler_Stinson,"Decision (split) (28â€“29, 30â€“27, 29â€“28)",,def.,05:00,Welterweight
,Paradise,"January 7, 2012",Strikeforce: Rockhold vs. Jardine,3,Estevan Payan,/wiki/Estevan_Payan,Alonzo Martinez,/wiki/Alonzo_Martinez,"Decision (unanimous) (30â€“27, 30â€“27, 30â€“27)",,def.,05:00,Catchweight (160 lb)
,Paradise,"January 7, 2012",Strikeforce: Rockhold vs. Jardine,3,Ricky Legere,/wiki/Ricky_Legere,Chris Spang,/wiki/Chris_Spang,"Decision (unanimous) (29â€“28, 29â€“28, 29â€“28)",,def.,05:00,Lightweight
,Paradise,"January 7, 2012",Strikeforce: Rockhold vs. Jardine,1,Gian Villante,/wiki/Gian_Villante,Trevor Smith,/wiki/Trevor_Smith_(fighter),TKO (punches),,def.,01:05,Light Heavyweight
,Paradise,"January 7, 2012",Strikeforce: Rockhold vs. Jardine,3,Nah-Shon Burrell,/wiki/Nah-Shon_Burrell,James Terry,/wiki/James_Terry_(fighter),"Decision (split) (29â€“28, 28â€“29, 29â€“28)",,def.,05:00,Welterweight
,"Columbus, Ohio","March 3, 2012",Strikeforce: Tate vs. Rousey,1,Ronda Rousey,/wiki/Ronda_Rousey,Miesha Tate,/wiki/Miesha_Tate,Submission (armbar),,def.,04:27,Women's Bantamweight
,"Columbus, Ohio","March 3, 2012",Strikeforce: Tate vs. Rousey,3,Josh Thomson,/wiki/Josh_Thomson,K.J. Noons,/wiki/K.J._Noons,"Decision (unanimous) (29â€“28, 29â€“28, 29â€“28)",,def.,05:00,Lightweight
,"Columbus, Ohio","March 3, 2012",Strikeforce: Tate vs. Rousey,3,Kazuo Misaki,/wiki/Kazuo_Misaki,Paul Daley,/wiki/Paul_Daley,"Decision (split) (30â€“27, 28â€“29, 29â€“28)",,def.,05:00,Welterweight
