city,date,event,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
Atlantic City,"November 17, 2000",UFC 28: High Stakes,Heavyweight,1,Andrei Arlovski,def.,/wiki/Andrei_Arlovski,Aaron Brink,/wiki/Aaron_Brink,Submission (armbar),Ultimate Fighting Championship,00:55,Trump Taj Mahal
Atlantic City,"November 17, 2000",UFC 28: High Stakes,Lightweight,1,Jens Pulver,def.,/wiki/Jens_Pulver,,,KO (punch),Ultimate Fighting Championship,00:15,Trump Taj Mahal
Atlantic City,"November 17, 2000",UFC 28: High Stakes,Middleweight,2,Mark Hughes,def.,/wiki/Mark_Hughes_(fighter),Alex Stiebling,/wiki/Alex_Stiebling,Decision (unanimous),Ultimate Fighting Championship,05:00,Trump Taj Mahal
Atlantic City,"November 17, 2000",UFC 28: High Stakes,Lightweight,2,Ben Earwood,def.,,,/wiki/Chris_Lytle,Decision (unanimous),Ultimate Fighting Championship,05:00,Trump Taj Mahal
Tokyo,"December 16, 2000",UFC 29: Defense of the Belts,Middleweight,1,Tito Ortiz,def.,/wiki/Tito_Ortiz,Yuki Kondo,/wiki/Yuki_Kondo,Submission (cobra choke),Ultimate Fighting Championship,01:51,Differ Ariake Arena
Tokyo,"December 16, 2000",UFC 29: Defense of the Belts,Lightweight,2,Pat Miletich,def.,/wiki/Pat_Miletich,Kenichi Yamamoto,/wiki/Kenichi_Yamamoto_(mixed_martial_artist),Submission (guillotine choke),Ultimate Fighting Championship,01:57,Differ Ariake Arena
Tokyo,"December 16, 2000",UFC 29: Defense of the Belts,Middleweight,1,Matt Lindland,def.,/wiki/Matt_Lindland,Yoji Anjo,/wiki/Yoji_Anjo,TKO (strikes),Ultimate Fighting Championship,02:57,Differ Ariake Arena
Tokyo,"December 16, 2000",UFC 29: Defense of the Belts,Lightweight,1,Fabiano Iha,def.,/wiki/Fabiano_Iha,Daiju Takase,/wiki/Daiju_Takase,TKO (strikes),Ultimate Fighting Championship,02:25,Differ Ariake Arena
Tokyo,"December 16, 2000",UFC 29: Defense of the Belts,Middleweight,1,Evan Tanner,def.,/wiki/Evan_Tanner,Lance Gibson,/wiki/Lance_Gibson,TKO (strikes),Ultimate Fighting Championship,04:58,Differ Ariake Arena
Tokyo,"December 16, 2000",UFC 29: Defense of the Belts,Lightweight,1,Dennis Hallman,def.,/wiki/Dennis_Hallman,Matt Hughes,/wiki/Matt_Hughes_(fighter),Submission (armbar),Ultimate Fighting Championship,00:20,Differ Ariake Arena
Tokyo,"December 16, 2000",UFC 29: Defense of the Belts,Middleweight,3,Chuck Liddell,def.,/wiki/Chuck_Liddell,Jeff Monson,/wiki/Jeff_Monson,Decision (unanimous),Ultimate Fighting Championship,05:00,Differ Ariake Arena
Atlantic City,"February 23, 2001",UFC 30: Battle on the Boardwalk,Middleweight,1,Tito Ortiz,def.,/wiki/Tito_Ortiz,Evan Tanner,/wiki/Evan_Tanner,KO (slam),Ultimate Fighting Championship,00:30,Trump Taj Mahal
Atlantic City,"February 23, 2001",UFC 30: Battle on the Boardwalk,Bantamweight,5,Jens Pulver,def.,/wiki/Jens_Pulver,Caol Uno,/wiki/Caol_Uno,Decision (unanimous),Ultimate Fighting Championship,05:00,Trump Taj Mahal
Atlantic City,"February 23, 2001",UFC 30: Battle on the Boardwalk,Lightweight,1,Fabiano Iha,def.,/wiki/Fabiano_Iha,,,Submission (armbar),Ultimate Fighting Championship,02:05,Trump Taj Mahal
Atlantic City,"February 23, 2001",UFC 30: Battle on the Boardwalk,Middleweight,1,Elvis Sinosic,def.,/wiki/Elvis_Sinosic,Jeremy Horn,/wiki/Jeremy_Horn,Submission (triangle armbar),Ultimate Fighting Championship,02:59,Trump Taj Mahal
Atlantic City,"February 23, 2001",UFC 30: Battle on the Boardwalk,Heavyweight,2,Pedro Rizzo,def.,/wiki/Pedro_Rizzo,Josh Barnett,/wiki/Josh_Barnett,KO (punches),Ultimate Fighting Championship,04:21,Trump Taj Mahal
Atlantic City,"February 23, 2001",UFC 30: Battle on the Boardwalk,Heavyweight,1,Bobby Hoffman,vs.,/wiki/Bobby_Hoffman,,,No Contest (overturned),Ultimate Fighting Championship,03:27,Trump Taj Mahal
Atlantic City,"February 23, 2001",UFC 30: Battle on the Boardwalk,Middleweight,2,Phil Baroni,def.,/wiki/Phil_Baroni,,,Decision (unanimous),Ultimate Fighting Championship,05:00,Trump Taj Mahal
Atlantic City,"February 23, 2001",UFC 30: Battle on the Boardwalk,Lightweight,2,Sean Sherk,def.,/wiki/Sean_Sherk,Tiki Ghosn,/wiki/Tiki_Ghosn,Verbal Submission (dislocated shoulder),Ultimate Fighting Championship,04:47,Trump Taj Mahal
Atlantic City,"May 4, 2001",UFC 31: Locked and Loaded,Heavyweight,5,Randy Couture,def.,/wiki/Randy_Couture,Pedro Rizzo,/wiki/Pedro_Rizzo,Decision (unanimous),Ultimate Fighting Championship,05:00,Trump Taj Mahal
Atlantic City,"May 4, 2001",UFC 31: Locked and Loaded,Welterweight,3,Carlos Newton,def.,/wiki/Carlos_Newton,Pat Miletich,/wiki/Pat_Miletich,Submission (bulldog choke),Ultimate Fighting Championship,02:50,Trump Taj Mahal
Atlantic City,"May 4, 2001",UFC 31: Locked and Loaded,Light Heavyweight,1,Chuck Liddell,def.,/wiki/Chuck_Liddell,Kevin Randleman,/wiki/Kevin_Randleman,KO (punches),Ultimate Fighting Championship,01:18,Trump Taj Mahal
Atlantic City,"May 4, 2001",UFC 31: Locked and Loaded,Welterweight,3,Shonie Carter,def.,/wiki/Shonie_Carter,Matt Serra,/wiki/Matt_Serra,KO (spinning back fist),Ultimate Fighting Championship,04:51,Trump Taj Mahal
Atlantic City,"May 4, 2001",UFC 31: Locked and Loaded,Heavyweight,2,Semmy Schilt,def.,/wiki/Semmy_Schilt,Pete Williams,/wiki/Pete_Williams_(mixed_martial_artist),TKO (kick to the body & punches),Ultimate Fighting Championship,01:26,Trump Taj Mahal
Atlantic City,"May 4, 2001",UFC 31: Locked and Loaded,Light Heavyweight,3,Matt Lindland,def.,/wiki/Matt_Lindland,Ricardo Almeida,/wiki/Ricardo_Almeida,Disqualification,Ultimate Fighting Championship,04:21,Trump Taj Mahal
Atlantic City,"May 4, 2001",UFC 31: Locked and Loaded,Lightweight,1,B.J. Penn,def.,/wiki/B.J._Penn,Joey Gilbert,/wiki/Joey_Gilbert,TKO (punches),Ultimate Fighting Championship,04:58,Trump Taj Mahal
Atlantic City,"May 4, 2001",UFC 31: Locked and Loaded,Welterweight,3,Tony DeSouza,def.,/wiki/Tony_DeSouza,Steve Berger,/wiki/Steve_Berger,Decision (unanimous),Ultimate Fighting Championship,05:00,Trump Taj Mahal
